stock,date,tradeNumber,price,stopLoss,profitTarget,action
CAT,2012-01-03,1.0,70.97415924072266,90.4000015258789,22.40955352783203,buy
MCK,2012-01-03,1.0,73.16875457763672,77.87000274658203,61.41563415527344,buy
PH,2012-01-03,1.0,65.63180541992188,76.2300033569336,39.13631057739258,buy
CTRA,2012-01-04,1.0,18.150405883789062,18.899999618530273,16.276421546936035,buy
NEM,2012-01-04,1.0,50.62174987792969,48.0906623840332,56.9494686126709,buy
TYL,2012-01-04,1.0,30.360000610351562,30.100000381469727,31.010001182556152,buy
VFC,2012-01-04,1.0,25.38975715637207,29.88229751586914,14.158406257629395,buy
CAT,2012-01-04,1.0,71.63116455078125,90.4000015258789,22.40955352783203,sell
MCK,2012-01-04,1.0,72.74560546875,77.87000274658203,61.41563415527344,sell
PH,2012-01-04,1.0,65.3570556640625,76.2300033569336,39.13631057739258,sell
AZO,2012-01-05,1.0,333.8500061035156,313.1099853515625,385.70005798339844,buy
ULTA,2012-01-05,1.0,68.79027557373047,63.439998626708984,82.16596794128418,buy
UAA,2012-01-05,1.0,9.15625,8.930000305175781,9.721874237060547,buy
CTRA,2012-01-05,1.0,18.23639488220215,18.899999618530273,16.276421546936035,sell
TYL,2012-01-05,1.0,31.09000015258789,30.100000381469727,31.010001182556152,sell
VFC,2012-01-05,1.0,25.357872009277344,29.88229751586914,14.158406257629395,sell
SNPS,2012-01-10,1.0,27.469999313354492,26.329999923706055,30.319997787475586,buy
TSCO,2012-01-11,1.0,32.506256103515625,34.25,28.146896362304688,buy
BBWI,2012-01-12,1.0,20.51519012451172,31.08326530456543,-5.904997825622559,buy
TSCO,2012-01-12,1.0,35.74663162231445,34.25,28.146896362304688,sell
BBWI,2012-01-13,1.0,20.611909866333008,31.08326530456543,-5.904997825622559,sell
ANSS,2012-01-18,1.0,58.880001068115234,55.209999084472656,68.05500602722168,buy
CDNS,2012-01-18,1.0,10.369999885559082,9.84000015258789,11.69499921798706,buy
GPS,2012-01-18,1.0,14.374761581420898,17.75,5.9366655349731445,buy
CBOE,2012-01-19,1.0,23.109006881713867,25.15999984741211,17.98152446746826,buy
GPS,2012-01-19,1.0,14.93771743774414,17.75,5.9366655349731445,sell
ABMD,2012-01-20,1.0,18.610000610351562,17.454750061035156,21.11312484741211,buy
IBM,2012-01-20,1.0,125.89556884765625,169.55067443847656,16.75780487060547,buy
CBOE,2012-01-20,1.0,23.07299041748047,25.15999984741211,17.98152446746826,sell
COST,2012-01-23,1.0,62.31150817871094,80.88999938964844,15.865280151367188,buy
IBM,2012-01-23,1.0,126.87061309814453,169.55067443847656,16.75780487060547,sell
COST,2012-01-24,1.0,62.38019943237305,80.88999938964844,15.865280151367188,sell
NEM,2012-01-24,1.0,47.01468276977539,48.0906623840332,56.9494686126709,sell
ATO,2012-01-25,1.0,24.850635528564453,32.04999923706055,6.852226257324219,buy
CL,2012-01-26,1.0,36.51997756958008,43.61000061035156,18.794919967651367,buy
MA,2012-01-26,1.0,32.913604736328125,31.267924499511718,37.02780532836914,buy
ATO,2012-01-26,1.0,25.163179397583008,32.04999923706055,6.852226257324219,sell
NEM,2012-01-27,2.0,50.310943603515625,57.2400016784668,32.988298416137695,buy
ABMD,2012-01-27,1.0,17.649999618530273,17.454750061035156,21.11312484741211,sell
CL,2012-01-27,1.0,36.140193939208984,43.61000061035156,18.794919967651367,sell
NEM,2012-01-30,2.0,50.0737419128418,57.2400016784668,32.988298416137695,sell
ATVI,2012-01-31,1.0,11.324518203735352,11.869999885559082,9.960813999176025,buy
AIZ,2012-01-31,1.0,32.21145248413086,38.900001525878906,15.490079879760742,buy
UAA,2012-01-31,1.0,9.952500343322754,8.930000305175781,9.721874237060547,sell
ABMD,2012-02-01,2.0,19.0,17.09000015258789,23.774999618530273,buy
ATVI,2012-02-01,1.0,11.159329414367676,11.869999885559082,9.960813999176025,sell
AIZ,2012-02-01,1.0,32.951656341552734,38.900001525878906,15.490079879760742,sell
CERN,2012-02-02,1.0,29.91006851196289,29.68000030517578,30.485239028930664,buy
DPZ,2012-02-02,1.0,27.767175674438477,30.899999618530273,19.935115814208984,buy
ICE,2012-02-02,1.0,21.60453987121582,22.134000778198242,20.280887603759766,buy
PM,2012-02-03,1.0,47.865943908691406,74.5,-18.719196319580078,buy
CDNS,2012-02-03,1.0,11.729999542236328,9.84000015258789,11.69499921798706,sell
CERN,2012-02-03,1.0,30.603729248046875,29.68000030517578,30.485239028930664,sell
DPZ,2012-02-03,1.0,28.559816360473633,30.899999618530273,19.935115814208984,sell
ICE,2012-02-03,1.0,22.086645126342773,22.134000778198242,20.280887603759766,sell
GOOGL,2012-02-06,1.0,304.849853515625,290.17767333984375,344.7710189819336,buy
GOOG,2012-02-06,1.0,303.4077453613281,288.80499267578125,343.1400680541992,buy
COP,2012-02-06,1.0,39.04325866699219,51.8375244140625,7.057594299316406,buy
TSN,2012-02-06,1.0,16.391565322875977,15.571987056732176,18.440510988235477,buy
MA,2012-02-06,1.0,37.02793502807617,31.267924499511718,37.02780532836914,sell
PM,2012-02-06,1.0,48.00962448120117,74.5,-18.719196319580078,sell
MO,2012-02-07,1.0,16.769989013671875,28.530000686645508,-12.630040168762207,buy
KO,2012-02-07,1.0,25.057552337646484,33.28499984741211,4.488933563232422,buy
