stock,date,tradeNumber,price,stopLoss,profitTarget,action
APTV,2021-12-28 00:00:00,3.0,162.6300048828125,154.49850463867188,182.95875549316406,buy
CINF,2021-12-28 00:00:00,5.0,114.83000183105469,108.87999725341797,129.70501327514648,buy
FRC,2021-12-28 00:00:00,2.0,207.3699951171875,191.91000366210938,246.0199737548828,buy
MPWR,2021-12-28 00:00:00,3.0,498.0799865722656,473.17598724365234,560.3399848937988,buy
NKE,2021-12-28 00:00:00,5.0,166.4199981689453,158.09899826049804,187.2224979400635,buy
PCAR,2021-12-28 00:00:00,5.0,86.9000015258789,81.05000305175781,101.52499771118164,buy
PNR,2021-12-28 00:00:00,3.0,72.81999969482422,68.01000213623047,84.8449935913086,buy
RF,2021-12-28 00:00:00,5.0,21.850000381469727,20.75750036239624,24.581250429153442,buy
SIVB,2021-12-28 00:00:00,3.0,681.0700073242188,647.0165069580078,766.2037582397462,buy
WMB,2021-12-28 00:00:00,2.0,26.15999984741211,24.8519998550415,29.42999982833863,buy
XYL,2021-12-28 00:00:00,3.0,119.5199966430664,112.63999938964844,136.71998977661133,buy
OKE,2021-12-29 00:00:00,3.0,58.792301177978516,55.852686119079586,66.14133882522584,buy
