date,AAPL,AMZN,GME,GOOGL
2020-03-23,55.40266799926758,1902.8299560546875,3.809999942779541,1054.1300048828125
2020-03-24,60.96096420288086,1940.0999755859375,4.159999847412109,1130.010009765625
2020-03-25,60.625144958496094,1885.8399658203125,4.170000076293945,1101.6199951171875
2020-03-26,63.81542205810547,1955.489990234375,4.409999847412109,1162.9200439453125
2020-03-27,61.17332077026367,1900.0999755859375,4.21999979019165,1110.260009765625
2020-03-30,62.9190788269043,1963.949951171875,3.6500000953674316,1146.31005859375
2020-03-31,62.79067611694336,1949.719970703125,3.5,1161.949951171875
2020-04-01,59.486812591552734,1907.699951171875,3.25,1102.0999755859375
2020-04-02,60.479454040527344,1918.8299560546875,2.8499999046325684,1117.030029296875
2020-04-03,59.61028289794922,1906.5899658203125,2.799999952316284,1092.699951171875
2020-04-06,64.81053161621094,1997.5899658203125,3.0899999141693115,1183.18994140625
2020-04-07,64.05987548828125,2011.5999755859375,3.2699999809265137,1182.56005859375
2020-04-08,65.699462890625,2043.0,3.4100000858306885,1207.0
2020-04-09,66.17355346679688,2042.760009765625,3.890000104904175,1206.5699462890625
2020-04-13,67.4723892211914,2168.8701171875,4.739999771118164,1210.4100341796875
2020-04-14,70.87995147705078,2283.320068359375,5.949999809265137,1265.22998046875
2020-04-15,70.2330093383789,2307.679931640625,5.269999980926514,1257.300048828125
2020-04-16,70.79106140136719,2408.18994140625,5.03000020980835,1257.4300537109375
2020-04-17,69.83052062988281,2375.0,4.880000114440918,1279.0
2020-04-20,68.38107299804688,2393.610107421875,5.610000133514404,1261.1500244140625
2020-04-21,66.26739501953125,2328.1201171875,4.78000020980835,1212.1600341796875
2020-04-22,68.17613220214844,2363.489990234375,4.889999866485596,1258.4100341796875
2020-04-23,67.91190338134766,2399.449951171875,4.699999809265137,1271.1700439453125
2020-04-24,69.87250518798828,2410.219970703125,4.769999980926514,1276.5999755859375
2020-04-27,69.92189025878906,2376.0,5.820000171661377,1270.8599853515625
2020-04-28,68.78850555419922,2314.080078125,5.639999866485596,1232.5899658203125
2020-04-29,71.0478744506836,2372.7099609375,6.039999961853027,1342.1800537109375
2020-04-30,72.54670715332031,2474.0,5.730000019073486,1346.699951171875
2020-05-01,71.37875366210938,2286.0400390625,6.050000190734863,1317.3199462890625
2020-05-04,72.38867950439453,2315.989990234375,5.480000019073486,1322.9000244140625
2020-05-05,73.47514343261719,2317.800048828125,5.389999866485596,1349.02001953125
2020-05-06,74.23319244384766,2351.260009765625,4.929999828338623,1345.4300537109375
2020-05-07,75.00113677978516,2367.610107421875,4.869999885559082,1369.280029296875
2020-05-08,76.78630065917969,2379.610107421875,4.980000019073486,1384.3399658203125
2020-05-11,77.99456024169922,2409.0,4.760000228881836,1403.5899658203125
2020-05-12,77.10321807861328,2356.949951171875,4.539999961853027,1375.1800537109375
2020-05-13,76.1722640991211,2367.919921875,4.210000038146973,1348.3299560546875
2020-05-14,76.64022064208984,2388.85009765625,4.130000114440918,1356.8599853515625
2020-05-15,76.1871109008789,2409.780029296875,4.21999979019165,1373.06005859375
2020-05-18,77.98217010498047,2426.260009765625,4.579999923706055,1385.1800537109375
2020-05-19,77.53155517578125,2449.330078125,4.440000057220459,1374.4000244140625
2020-05-20,79.0394058227539,2497.93994140625,4.429999828338623,1409.1600341796875
2020-05-21,78.45012664794922,2446.739990234375,4.440000057220459,1406.75
2020-05-22,78.95523071289062,2436.8798828125,4.179999828338623,1413.239990234375
2020-05-26,78.42042541503906,2421.860107421875,4.420000076293945,1421.3699951171875
2020-05-27,78.76210021972656,2410.389892578125,4.690000057220459,1420.280029296875
2020-05-28,78.7967529296875,2401.10009765625,4.329999923706055,1418.239990234375
2020-05-29,78.72000885009766,2442.3701171875,4.059999942779541,1433.52001953125
2020-06-01,79.68810272216797,2471.0400390625,4.130000114440918,1434.8699951171875
2020-06-02,80.0570068359375,2472.409912109375,4.179999828338623,1442.31005859375
2020-06-03,80.49771881103516,2478.39990234375,4.440000057220459,1439.25
2020-06-04,79.80447387695312,2460.60009765625,4.46999979019165,1414.300048828125
2020-06-05,82.07737731933594,2483.0,4.139999866485596,1440.02001953125
2020-06-08,82.56266021728516,2524.06005859375,5.010000228881836,1448.0400390625
2020-06-09,85.1698226928711,2600.860107421875,4.960000038146973,1452.0799560546875
2020-06-10,87.36103057861328,2647.449951171875,5.070000171661377,1464.699951171875
2020-06-11,83.16679382324219,2557.9599609375,4.369999885559082,1401.9000244140625
2020-06-12,83.88480377197266,2545.02001953125,4.71999979019165,1412.9200439453125
2020-06-15,84.92222595214844,2572.679931640625,4.690000057220459,1420.739990234375
2020-06-16,87.1728515625,2615.27001953125,4.639999866485596,1446.469970703125
2020-06-17,87.0515365600586,2640.97998046875,4.760000228881836,1452.5400390625
2020-06-18,87.08621215820312,2653.97998046875,4.949999809265137,1434.1199951171875
2020-06-19,86.58853912353516,2675.010009765625,4.880000114440918,1424.6400146484375
2020-06-22,88.8540267944336,2713.820068359375,4.869999885559082,1450.6600341796875
2020-06-23,90.75059509277344,2764.409912109375,4.829999923706055,1463.97998046875
2020-06-24,89.1486587524414,2734.39990234375,4.409999847412109,1432.699951171875
2020-06-25,90.33216094970703,2754.580078125,4.460000038146973,1441.0999755859375
2020-06-26,87.55662536621094,2692.8701171875,4.349999904632568,1362.5400390625
2020-06-29,89.57452392578125,2680.3798828125,4.380000114440918,1397.1700439453125
2020-06-30,90.32225799560547,2758.820068359375,4.340000152587891,1418.050048828125
2020-07-01,90.15140533447266,2878.699951171875,4.440000057220459,1442.0
