date,stock,numberOfShares,action
2009-12-10,CINF,181.0,buy
2009-12-10,CMI,85.0,buy
2009-12-10,MLM,40.0,buy
2009-12-11,ALL,136.0,buy
2009-12-11,ECL,76.0,buy
2009-12-11,GS,21.0,buy
2009-12-11,UHS,108.0,buy
2009-12-11,WU,230.0,buy
2009-12-11,CINF,181.0,sell
2009-12-11,CMI,85.0,sell
2009-12-11,MLM,40.0,sell
2009-12-14,APA,36.0,buy
2009-12-14,AJG,194.0,buy
2009-12-14,ADSK,122.0,buy
2009-12-14,CERN,159.0,buy
2009-12-14,CTXS,101.0,buy
2009-12-14,CTRA,333.0,buy
2009-12-14,DRE,420.0,buy
2009-12-14,EOG,77.0,buy
2009-12-14,FISV,252.0,buy
2009-12-14,MDLZ,221.0,buy
2009-12-14,ROST,299.0,buy
2009-12-14,SIVB,79.0,buy
2009-12-14,TGT,85.0,buy
2009-12-14,UAA,898.0,buy
2009-12-14,VFC,228.0,buy
2009-12-14,WAB,156.0,buy
2009-12-14,ALL,136.0,sell
2009-12-14,UHS,108.0,sell
2009-12-14,WU,230.0,sell
2009-12-15,BKR,132.0,buy
2009-12-15,RE,45.0,buy
2009-12-15,GPS,186.0,buy
2009-12-15,JKHY,152.0,buy
2009-12-15,MMC,179.0,buy
2009-12-15,APA,36.0,sell
2009-12-15,AJG,194.0,sell
2009-12-15,CTXS,101.0,sell
2009-12-15,CTRA,333.0,sell
2009-12-15,DRE,420.0,sell
2009-12-15,EOG,77.0,sell
2009-12-15,MDLZ,221.0,sell
2009-12-15,ROST,299.0,sell
2009-12-15,TGT,85.0,sell
2009-12-15,VFC,228.0,sell
2009-12-15,WAB,156.0,sell
2009-12-16,DVN,56.0,buy
2009-12-16,HAL,121.0,buy
2009-12-16,IVZ,205.0,buy
2009-12-16,JPM,98.0,buy
2009-12-16,LEN,259.0,buy
2009-12-16,LNC,162.0,buy
2009-12-16,NVR,4.0,buy
2009-12-16,SLB,63.0,buy
2009-12-16,VMC,68.0,buy
2009-12-16,BKR,132.0,sell
2009-12-16,RE,45.0,sell
2009-12-17,DVN,56.0,sell
2009-12-17,HAL,121.0,sell
2009-12-17,IVZ,205.0,sell
2009-12-17,JPM,98.0,sell
2009-12-17,LEN,259.0,sell
2009-12-17,LNC,162.0,sell
2009-12-17,SLB,63.0,sell
2009-12-17,VMC,68.0,sell
2009-12-18,DLTR,184.0,buy
2009-12-18,KIM,408.0,buy
2009-12-18,MTCH,608.0,buy
2009-12-18,OXY,58.0,buy
2009-12-18,RJF,224.0,buy
2009-12-18,SNPS,139.0,buy
2009-12-18,WFC,153.0,buy
2009-12-21,HES,60.0,buy
2009-12-21,IVZ,204.0,buy
2009-12-21,JPM,96.0,buy
2009-12-21,KIM,408.0,sell
2009-12-21,MTCH,608.0,sell
2009-12-21,OXY,58.0,sell
2009-12-21,RJF,224.0,sell
2009-12-21,WFC,153.0,sell
2009-12-22,ABMD,351.0,buy
2009-12-22,AAPL,489.0,buy
2009-12-22,HOLX,204.0,buy
2009-12-22,MRO,201.0,buy
2009-12-22,PCAR,122.0,buy
2009-12-22,PVH,75.0,buy
2009-12-22,YUM,150.0,buy
2009-12-22,HES,60.0,sell
2009-12-22,IVZ,204.0,sell
2009-12-22,JPM,96.0,sell
2009-12-22,SIVB,79.0,sell
2009-12-23,ADM,132.0,buy
2009-12-23,COST,67.0,buy
2009-12-23,EBAY,311.0,buy
2009-12-23,IT,164.0,buy
2009-12-23,AAPL,489.0,sell
2009-12-23,CERN,159.0,sell
2009-12-23,MRO,201.0,sell
2009-12-23,PCAR,122.0,sell
2009-12-23,YUM,150.0,sell
2009-12-24,BEN,126.0,buy
2009-12-24,FCX,96.0,buy
2009-12-24,ORLY,78.0,buy
2009-12-24,TYL,151.0,buy
2009-12-24,ADM,132.0,sell
2009-12-24,COST,67.0,sell
2009-12-24,GPS,186.0,sell
2009-12-28,AIZ,129.0,buy
2009-12-28,BAC,230.0,buy
2009-12-28,COP,116.0,buy
2009-12-28,STZ,205.0,buy
2009-12-28,NFLX,368.0,buy
2009-12-28,PPG,125.0,buy
2009-12-28,HIG,161.0,buy
2009-12-28,TSN,284.0,buy
2009-12-28,BEN,126.0,sell
2009-12-28,FCX,96.0,sell
2009-12-29,APD,53.0,buy
2009-12-29,TRV,81.0,buy
2009-12-29,WRB,235.0,buy
2009-12-29,AIZ,129.0,sell
2009-12-29,BAC,230.0,sell
2009-12-29,COP,116.0,sell
2009-12-29,STZ,205.0,sell
2009-12-29,PPG,125.0,sell
2009-12-29,HIG,161.0,sell
2009-12-29,TSN,284.0,sell
2009-12-30,GPS,193.0,buy
2009-12-30,STE,126.0,buy
2009-12-30,USB,180.0,buy
2009-12-30,APD,53.0,sell
2009-12-30,TRV,81.0,sell
2009-12-30,WRB,235.0,sell
2009-12-31,GPS,193.0,sell
2009-12-31,USB,180.0,sell
2010-01-04,BAC,224.0,buy
2010-01-04,DG,140.0,buy
2010-01-04,KEY,689.0,buy
2010-01-04,LVS,272.0,buy
2010-01-04,LIN,47.0,buy
2010-01-04,PEP,70.0,buy
2010-01-04,PM,105.0,buy
2010-01-05,DISCK,215.0,buy
2010-01-05,MGM,304.0,buy
2010-01-05,ROST,311.0,buy
2010-01-05,WYNN,67.0,buy
2010-01-05,BAC,224.0,sell
2010-01-05,DG,140.0,sell
2010-01-05,DLTR,184.0,sell
2010-01-05,KEY,689.0,sell
2010-01-05,LVS,272.0,sell
2010-01-05,LIN,47.0,sell
2010-01-05,NFLX,368.0,sell
2010-01-05,PEP,70.0,sell
2010-01-05,PM,105.0,sell
2010-01-05,PVH,75.0,sell
2010-01-05,UAA,898.0,sell
2010-01-06,GPS,195.0,buy
2010-01-06,NEM,76.0,buy
2010-01-06,TJX,380.0,buy
2010-01-06,ROST,311.0,sell
2010-01-06,WYNN,67.0,sell
2010-01-07,AVY,107.0,buy
2010-01-07,BBY,102.0,buy
2010-01-07,DFS,247.0,buy
2010-01-07,GE,32.0,buy
2010-01-07,MSI,112.0,buy
2010-01-07,NRG,145.0,buy
2010-01-07,TXT,154.0,buy
2010-01-07,GPS,195.0,sell
2010-01-07,NEM,76.0,sell
2010-01-07,TJX,380.0,sell
2010-01-08,WBA,111.0,buy
2010-01-08,AVY,107.0,sell
2010-01-08,BBY,102.0,sell
2010-01-08,DFS,247.0,sell
2010-01-08,GE,32.0,sell
2010-01-08,MSI,112.0,sell
2010-01-08,NRG,145.0,sell
2010-01-11,WBA,111.0,sell
2010-01-12,RE,46.0,buy
2010-01-12,PEP,70.0,buy
2010-01-12,ABMD,351.0,sell
2010-01-13,TRV,82.0,buy
2010-01-13,RE,46.0,sell
2010-01-13,PEP,70.0,sell
2010-01-14,PG,70.0,buy
2010-01-14,EBAY,311.0,sell
2010-01-14,TRV,82.0,sell
2010-01-15,LLY,123.0,buy
2010-01-15,PG,70.0,sell
2010-01-19,PEAK,195.0,buy
2010-01-19,NRG,143.0,buy
2010-01-19,ROP,60.0,buy
2010-01-19,IT,164.0,sell
2010-01-20,ABMD,358.0,buy
2010-01-20,MCK,54.0,buy
2010-01-20,WELL,121.0,buy
2010-01-20,PEAK,195.0,sell
2010-01-20,NRG,143.0,sell
2010-01-20,ROP,60.0,sell
2010-01-21,AJG,194.0,buy
2010-01-22,EBAY,318.0,buy
2010-01-22,AJG,194.0,sell
2010-01-22,FISV,252.0,sell
2010-01-22,GS,21.0,sell
2010-01-22,STE,126.0,sell
2010-01-26,PG,71.0,buy
2010-01-26,SHW,165.0,buy
2010-01-27,RE,45.0,buy
2010-01-27,WBA,111.0,buy
2010-01-27,PG,71.0,sell
2010-01-27,SHW,165.0,sell
2010-01-28,CPB,128.0,buy
2010-01-28,CL,99.0,buy
2010-01-28,NFLX,335.0,buy
2010-01-28,RE,45.0,sell
2010-01-28,JKHY,152.0,sell
2010-01-28,WBA,111.0,sell
2010-01-29,VTRS,169.0,buy
2010-01-29,CPB,128.0,sell
2010-01-29,MCK,54.0,sell
2010-02-01,PSA,55.0,buy
2010-02-01,WBA,112.0,buy
2010-02-02,ADM,130.0,buy
2010-02-02,COST,68.0,buy
2010-02-02,HD,137.0,buy
2010-02-02,OXY,57.0,buy
2010-02-02,STE,121.0,buy
2010-02-02,UDR,280.0,buy
2010-02-02,PSA,55.0,sell
2010-02-02,WBA,112.0,sell
2010-02-03,BLL,258.0,buy
2010-02-03,EXPE,103.0,buy
2010-02-03,NI,755.0,buy
2010-02-03,PEP,69.0,buy
2010-02-03,ROP,60.0,buy
2010-02-03,WMT,73.0,buy
2010-02-03,ADM,130.0,sell
2010-02-03,COST,68.0,sell
2010-02-03,HD,137.0,sell
2010-02-03,OXY,57.0,sell
2010-02-03,STE,121.0,sell
2010-02-03,UDR,280.0,sell
2010-02-03,VTRS,169.0,sell
2010-02-03,WELL,121.0,sell
2010-02-04,CLX,69.0,buy
2010-02-04,TMO,66.0,buy
2010-02-04,ADSK,122.0,sell
2010-02-04,DISCK,215.0,sell
2010-02-04,EXPE,103.0,sell
2010-02-04,PEP,69.0,sell
2010-02-04,ROP,60.0,sell
2010-02-04,WMT,73.0,sell
2010-02-05,TRMB,245.0,buy
2010-02-05,UDR,281.0,buy
2010-02-05,TXT,154.0,sell
2010-02-08,CSCO,172.0,buy
2010-02-08,HD,137.0,buy
2010-02-08,IPGP,206.0,buy
2010-02-08,TYL,151.0,sell
2010-02-08,UDR,281.0,sell
2010-02-09,CPB,126.0,buy
2010-02-09,LUMN,225.0,buy
2010-02-09,POOL,179.0,buy
2010-02-09,TXN,170.0,buy
2010-02-09,ZBRA,105.0,buy
2010-02-09,EBAY,318.0,sell
2010-02-09,HD,137.0,sell
2010-02-10,BKNG,14.0,buy
2010-02-10,CTSH,135.0,buy
2010-02-10,IFF,91.0,buy
2010-02-10,MCHP,309.0,buy
2010-02-10,NTAP,118.0,buy
2010-02-10,OXY,58.0,buy
2010-02-10,COO,80.0,buy
2010-02-10,DIS,113.0,buy
2010-02-10,UHS,101.0,buy
2010-02-10,CPB,126.0,sell
2010-02-10,LUMN,225.0,sell
2010-02-10,POOL,179.0,sell
2010-02-10,TXN,170.0,sell
2010-02-11,AOS,481.0,buy
2010-02-11,A,154.0,buy
2010-02-11,GOOGL,11.0,buy
2010-02-11,GOOG,11.0,buy
2010-02-11,AME,193.0,buy
2010-02-11,ADI,38.0,buy
2010-02-11,ADP,0.0,buy
2010-02-11,CAT,0.0,buy
2010-02-11,KO,0.0,buy
2010-02-11,CSX,2.0,buy
2010-02-11,ETN,0.0,buy
2010-02-11,FFIV,0.0,buy
2010-02-11,FCX,0.0,buy
2010-02-11,HBI,0.0,buy
2010-02-11,IEX,0.0,buy
2010-02-11,JBHT,0.0,buy
2010-02-11,KSU,0.0,buy
2010-02-11,KMB,0.0,buy
2010-02-11,LRCX,0.0,buy
2010-02-11,MHK,0.0,buy
2010-02-11,PAYX,0.0,buy
2010-02-11,PEP,0.0,buy
2010-02-11,PM,0.0,buy
2010-02-11,CRM,0.0,buy
2010-02-11,SWKS,0.0,buy
2010-02-11,TPR,0.0,buy
2010-02-11,MOS,0.0,buy
2010-02-11,VFC,0.0,buy
2010-02-11,V,0.0,buy
2010-02-11,WAT,0.0,buy
2010-02-11,WHR,0.0,buy
2010-02-11,XLNX,0.0,buy
2010-02-11,ECL,76.0,sell
2010-02-11,IFF,91.0,sell
2010-02-11,MCHP,309.0,sell
2010-02-11,OXY,58.0,sell
2010-02-11,DIS,113.0,sell
2010-02-12,AMD,376.0,buy
2010-02-12,AMZN,24.0,buy
2010-02-12,AXP,91.0,buy
2010-02-12,APH,325.0,buy
2010-02-12,ADSK,122.0,buy
2010-02-12,CVS,1.0,buy
2010-02-12,DE,0.0,buy
2010-02-12,DISH,0.0,buy
2010-02-12,ETR,0.0,buy
2010-02-12,EQR,0.0,buy
2010-02-12,HPQ,0.0,buy
2010-02-12,ITW,0.0,buy
2010-02-12,INTC,0.0,buy
2010-02-12,IPG,2.0,buy
2010-02-12,LVS,0.0,buy
2010-02-12,LOW,0.0,buy
2010-02-12,NSC,0.0,buy
2010-02-12,NVDA,0.0,buy
2010-02-12,PXD,0.0,buy
2010-02-12,PPG,0.0,buy
2010-02-12,SPG,0.0,buy
2010-02-12,SBUX,0.0,buy
2010-02-12,TER,0.0,buy
2010-02-12,TYL,0.0,buy
2010-02-12,UNP,0.0,buy
2010-02-12,VRSK,0.0,buy
2010-02-12,VTRS,0.0,buy
2010-02-12,AOS,481.0,sell
2010-02-12,A,154.0,sell
2010-02-12,AME,193.0,sell
2010-02-12,ADI,38.0,sell
2010-02-12,ADP,0.0,sell
2010-02-12,CAT,0.0,sell
2010-02-12,KO,0.0,sell
2010-02-12,CSX,2.0,sell
2010-02-12,ETN,0.0,sell
2010-02-12,FCX,0.0,sell
2010-02-12,HBI,0.0,sell
2010-02-12,IEX,0.0,sell
2010-02-12,JBHT,0.0,sell
2010-02-12,KSU,0.0,sell
2010-02-12,KMB,0.0,sell
2010-02-12,LRCX,0.0,sell
2010-02-12,PAYX,0.0,sell
2010-02-12,PEP,0.0,sell
2010-02-12,PM,0.0,sell
2010-02-12,SWKS,0.0,sell
2010-02-12,TPR,0.0,sell
2010-02-12,MOS,0.0,sell
2010-02-12,VFC,0.0,sell
2010-02-12,V,0.0,sell
2010-02-12,WHR,0.0,sell
2010-02-12,XLNX,0.0,sell
2010-02-16,ALB,94.0,buy
2010-02-16,ALL,126.0,buy
2010-02-16,AMT,81.0,buy
2010-02-16,AWK,55.0,buy
2010-02-16,ANSS,0.0,buy
2010-02-16,AAPL,1.0,buy
2010-02-16,BDX,0.0,buy
2010-02-16,BIO,0.0,buy
2010-02-16,KMX,0.0,buy
2010-02-16,CBRE,0.0,buy
2010-02-16,CERN,0.0,buy
2010-02-16,CVX,0.0,buy
2010-02-16,COP,0.0,buy
2010-02-16,CPRT,0.0,buy
2010-02-16,CTRA,0.0,buy
2010-02-16,CCI,0.0,buy
2010-02-16,DHR,0.0,buy
2010-02-16,DFS,0.0,buy
2010-02-16,D,0.0,buy
2010-02-16,DTE,0.0,buy
2010-02-16,DD,0.0,buy
2010-02-16,DXC,0.0,buy
2010-02-16,EMN,0.0,buy
2010-02-16,EQIX,0.0,buy
2010-02-16,ESS,0.0,buy
2010-02-16,EXR,0.0,buy
2010-02-16,FDX,0.0,buy
2010-02-16,GD,0.0,buy
2010-02-16,HAL,0.0,buy
2010-02-16,PEAK,0.0,buy
2010-02-16,HES,0.0,buy
2010-02-16,HST,0.0,buy
2010-02-16,IBM,0.0,buy
2010-02-16,IP,0.0,buy
2010-02-16,JNJ,0.0,buy
2010-02-16,KIM,0.0,buy
2010-02-16,LHX,0.0,buy
2010-02-16,LH,0.0,buy
2010-02-16,LEG,0.0,buy
2010-02-16,MAR,0.0,buy
2010-02-16,MCK,0.0,buy
2010-02-16,MAA,0.0,buy
2010-02-16,MSCI,0.0,buy
2010-02-16,NKE,0.0,buy
2010-02-16,OMC,0.0,buy
2010-02-16,PCAR,0.0,buy
2010-02-16,PKG,0.0,buy
2010-02-16,PNR,0.0,buy
2010-02-16,PGR,0.0,buy
2010-02-16,PVH,0.0,buy
2010-02-16,DGX,0.0,buy
2010-02-16,RSG,0.0,buy
2010-02-16,SBAC,0.0,buy
2010-02-16,SLB,0.0,buy
2010-02-16,SYY,0.0,buy
2010-02-16,TSCO,0.0,buy
2010-02-16,VTR,0.0,buy
2010-02-16,VRSN,0.0,buy
2010-02-16,VIAC,0.0,buy
2010-02-16,WAB,0.0,buy
2010-02-16,WM,0.0,buy
2010-02-16,WDC,0.0,buy
2010-02-16,WYNN,0.0,buy
2010-02-16,ZBH,0.0,buy
2010-02-16,AXP,91.0,sell
2010-02-16,DE,0.0,sell
2010-02-16,DISH,0.0,sell
2010-02-16,EQR,0.0,sell
2010-02-16,INTC,0.0,sell
2010-02-16,PPG,0.0,sell
2010-02-16,SPG,0.0,sell
2010-02-16,SBUX,0.0,sell
2010-02-17,MMM,50.0,buy
2010-02-17,ABT,6.0,buy
2010-02-17,ALK,0.0,buy
2010-02-17,ARE,0.0,buy
2010-02-17,AEE,0.0,buy
2010-02-17,AMP,0.0,buy
2010-02-17,APA,0.0,buy
2010-02-17,ATO,0.0,buy
2010-02-17,AVB,0.0,buy
2010-02-17,BAC,0.0,buy
2010-02-17,BXP,0.0,buy
2010-02-17,BMY,0.0,buy
2010-02-17,BR,0.0,buy
2010-02-17,COF,0.0,buy
2010-02-17,CE,0.0,buy
2010-02-17,CNP,0.0,buy
2010-02-17,CMS,0.0,buy
2010-02-17,CMCSA,0.0,buy
2010-02-17,DVN,0.0,buy
2010-02-17,DLR,0.0,buy
2010-02-17,DISCA,0.0,buy
2010-02-17,DISCK,0.0,buy
2010-02-17,DLTR,0.0,buy
2010-02-17,DOV,0.0,buy
2010-02-17,EIX,0.0,buy
2010-02-17,EVRG,0.0,buy
2010-02-17,ES,0.0,buy
2010-02-17,FRT,0.0,buy
2010-02-17,BEN,0.0,buy
2010-02-17,HON,0.0,buy
2010-02-17,IDXX,0.0,buy
2010-02-17,INTU,0.0,buy
2010-02-17,JKHY,0.0,buy
2010-02-17,LNC,0.0,buy
2010-02-17,LKQ,0.0,buy
2010-02-17,L,0.0,buy
2010-02-17,MKC,0.0,buy
2010-02-17,MSFT,0.0,buy
2010-02-17,NWL,0.0,buy
2010-02-17,ORCL,0.0,buy
2010-02-17,PNW,0.0,buy
2010-02-17,PRU,0.0,buy
2010-02-17,PSA,0.0,buy
2010-02-17,REG,0.0,buy
2010-02-17,SNA,0.0,buy
2010-02-17,TROW,0.0,buy
2010-02-17,TDY,0.0,buy
2010-02-17,UDR,0.0,buy
2010-02-17,VRTX,0.0,buy
2010-02-17,VNO,0.0,buy
2010-02-17,WMT,0.0,buy
2010-02-17,WELL,0.0,buy
2010-02-17,ALB,94.0,sell
2010-02-17,ALL,126.0,sell
2010-02-17,AMT,81.0,sell
2010-02-17,AWK,55.0,sell
2010-02-17,AAPL,1.0,sell
2010-02-17,BDX,0.0,sell
2010-02-17,CVX,0.0,sell
2010-02-17,COP,0.0,sell
2010-02-17,CTRA,0.0,sell
2010-02-17,CCI,0.0,sell
2010-02-17,DHR,0.0,sell
2010-02-17,DFS,0.0,sell
2010-02-17,D,0.0,sell
2010-02-17,DTE,0.0,sell
2010-02-17,DD,0.0,sell
2010-02-17,DXC,0.0,sell
2010-02-17,EMN,0.0,sell
2010-02-17,ESS,0.0,sell
2010-02-17,EXR,0.0,sell
2010-02-17,FDX,0.0,sell
2010-02-17,GD,0.0,sell
2010-02-17,HAL,0.0,sell
2010-02-17,PEAK,0.0,sell
2010-02-17,HES,0.0,sell
2010-02-17,HST,0.0,sell
2010-02-17,IBM,0.0,sell
2010-02-17,IP,0.0,sell
2010-02-17,JNJ,0.0,sell
2010-02-17,KIM,0.0,sell
2010-02-17,LHX,0.0,sell
2010-02-17,LEG,0.0,sell
2010-02-17,MAR,0.0,sell
2010-02-17,MCK,0.0,sell
2010-02-17,MAA,0.0,sell
2010-02-17,MSCI,0.0,sell
2010-02-17,NKE,0.0,sell
2010-02-17,OMC,0.0,sell
2010-02-17,PCAR,0.0,sell
2010-02-17,PKG,0.0,sell
2010-02-17,PNR,0.0,sell
2010-02-17,PGR,0.0,sell
2010-02-17,DGX,0.0,sell
2010-02-17,RSG,0.0,sell
2010-02-17,SLB,0.0,sell
2010-02-17,SYY,0.0,sell
2010-02-17,TSCO,0.0,sell
2010-02-17,VTR,0.0,sell
2010-02-17,VRSN,0.0,sell
2010-02-17,VIAC,0.0,sell
2010-02-17,WM,0.0,sell
2010-02-17,WDC,0.0,sell
2010-02-17,WYNN,0.0,sell
2010-02-17,ZBH,0.0,sell
2010-02-18,ACN,90.0,buy
2010-02-18,MO,283.0,buy
2010-02-18,BLK,18.0,buy
2010-02-18,CINF,62.0,buy
2010-02-18,ED,0.0,buy
2010-02-18,DG,0.0,buy
2010-02-18,DUK,0.0,buy
2010-02-18,DRE,2.0,buy
2010-02-18,EOG,0.0,buy
2010-02-18,EXPD,0.0,buy
2010-02-18,FTNT,0.0,buy
2010-02-18,GRMN,0.0,buy
2010-02-18,SJM,0.0,buy
2010-02-18,MDT,0.0,buy
2010-02-18,MTD,0.0,buy
2010-02-18,OKE,0.0,buy
2010-02-18,PLD,0.0,buy
2010-02-18,RL,0.0,buy
2010-02-18,RTX,0.0,buy
2010-02-18,SO,0.0,buy
2010-02-18,SYK,0.0,buy
2010-02-18,HIG,0.0,buy
2010-02-18,WEC,0.0,buy
2010-02-18,WY,0.0,buy
2010-02-18,XEL,0.0,buy
2010-02-18,MMM,50.0,sell
2010-02-18,ABT,6.0,sell
2010-02-18,ALK,0.0,sell
2010-02-18,AEE,0.0,sell
2010-02-18,AMP,0.0,sell
2010-02-18,ATO,0.0,sell
2010-02-18,AVB,0.0,sell
2010-02-18,BAC,0.0,sell
2010-02-18,BXP,0.0,sell
2010-02-18,BMY,0.0,sell
2010-02-18,BR,0.0,sell
2010-02-18,COF,0.0,sell
2010-02-18,CE,0.0,sell
2010-02-18,CNP,0.0,sell
2010-02-18,CMS,0.0,sell
2010-02-18,DVN,0.0,sell
2010-02-18,DLR,0.0,sell
2010-02-18,DOV,0.0,sell
2010-02-18,EVRG,0.0,sell
2010-02-18,ES,0.0,sell
2010-02-18,FRT,0.0,sell
2010-02-18,BEN,0.0,sell
2010-02-18,HON,0.0,sell
2010-02-18,INTU,0.0,sell
2010-02-18,JKHY,0.0,sell
2010-02-18,LVS,0.0,sell
2010-02-18,LNC,0.0,sell
2010-02-18,L,0.0,sell
2010-02-18,MKC,0.0,sell
2010-02-18,MSFT,0.0,sell
2010-02-18,ORCL,0.0,sell
2010-02-18,PNW,0.0,sell
2010-02-18,PRU,0.0,sell
2010-02-18,PSA,0.0,sell
2010-02-18,REG,0.0,sell
2010-02-18,SNA,0.0,sell
2010-02-18,TRMB,245.0,sell
2010-02-18,UDR,0.0,sell
2010-02-18,WAB,0.0,sell
2010-02-18,WMT,0.0,sell
2010-02-18,WELL,0.0,sell
2010-02-19,ADM,135.0,buy
2010-02-19,AFL,162.0,buy
2010-02-19,AKAM,12.0,buy
2010-02-19,AEP,0.0,buy
2010-02-19,BAX,0.0,buy
2010-02-19,AVGO,0.0,buy
2010-02-19,SCHW,0.0,buy
2010-02-19,EBAY,1.0,buy
2010-02-19,GE,0.0,buy
2010-02-19,JCI,0.0,buy
2010-02-19,TT,0.0,buy
2010-02-19,UPS,0.0,buy
2010-02-19,ACN,90.0,sell
2010-02-19,MO,283.0,sell
2010-02-19,BLK,18.0,sell
2010-02-19,CINF,62.0,sell
2010-02-19,DUK,0.0,sell
2010-02-19,DRE,2.0,sell
2010-02-19,EOG,0.0,sell
2010-02-19,GRMN,0.0,sell
2010-02-19,SJM,0.0,sell
2010-02-19,MDT,0.0,sell
2010-02-19,PLD,0.0,sell
2010-02-19,RL,0.0,sell
2010-02-19,RTX,0.0,sell
2010-02-19,SO,0.0,sell
2010-02-19,SYK,0.0,sell
2010-02-19,HIG,0.0,sell
2010-02-19,WEC,0.0,sell
2010-02-19,WY,0.0,sell
2010-02-19,XEL,0.0,sell
2010-02-22,BK,131.0,buy
2010-02-22,STZ,208.0,buy
2010-02-22,RE,45.0,buy
2010-02-22,MET,45.0,buy
2010-02-22,MU,0.0,buy
2010-02-22,PNC,0.0,buy
2010-02-22,SIVB,0.0,buy
2010-02-22,TXT,0.0,buy
2010-02-22,WFC,0.0,buy
2010-02-22,WYNN,0.0,buy
2010-02-22,AFL,162.0,sell
2010-02-22,AEP,0.0,sell
2010-02-22,BAX,0.0,sell
2010-02-22,AVGO,0.0,sell
2010-02-22,KMX,0.0,sell
2010-02-22,SCHW,0.0,sell
2010-02-22,JCI,0.0,sell
2010-02-22,TT,0.0,sell
2010-02-22,UPS,0.0,sell
2010-02-23,BK,131.0,sell
2010-02-23,RE,45.0,sell
2010-02-23,MET,45.0,sell
2010-02-23,NVDA,0.0,sell
2010-02-23,PNC,0.0,sell
2010-02-23,WFC,0.0,sell
2010-02-23,WYNN,0.0,sell
2010-02-24,AIZ,121.0,buy
2010-02-24,CI,89.0,buy
2010-02-24,FIS,153.0,buy
2010-02-24,IPGP,206.0,sell
2010-02-25,EOG,74.0,buy
2010-02-25,ULTA,74.0,buy
2010-02-25,GOOGL,11.0,sell
2010-02-25,GOOG,11.0,sell
2010-02-25,AIZ,121.0,sell
2010-02-25,FIS,153.0,sell
2010-02-25,VTRS,0.0,sell
2010-02-25,WAT,0.0,sell
2010-02-26,ANTM,57.0,buy
2010-02-26,LVS,268.0,buy
2010-02-26,MA,141.0,buy
2010-02-26,EOG,74.0,sell
2010-02-26,MHK,0.0,sell
2010-02-26,TYL,0.0,sell
2010-03-01,AIZ,123.0,buy
2010-03-01,BR,165.0,buy
2010-03-01,KMX,0.0,buy
2010-03-01,GLW,0.0,buy
2010-03-01,HES,0.0,buy
2010-03-01,TT,0.0,buy
2010-03-01,ANTM,57.0,sell
2010-03-01,IPG,2.0,sell
2010-03-01,LVS,268.0,sell
2010-03-01,MA,141.0,sell
2010-03-02,ACN,92.0,buy
2010-03-02,HUM,68.0,buy
2010-03-02,K,82.0,buy
2010-03-02,MAS,26.0,buy
2010-03-02,MRK,0.0,buy
2010-03-02,NVDA,2.0,buy
2010-03-02,ABMD,358.0,sell
2010-03-02,AIZ,123.0,sell
2010-03-02,BKNG,14.0,sell
2010-03-02,BR,165.0,sell
2010-03-02,GLW,0.0,sell
2010-03-02,HES,0.0,sell
2010-03-02,TER,0.0,sell
2010-03-02,TT,0.0,sell
2010-03-03,LHX,84.0,buy
2010-03-03,SLB,63.0,buy
2010-03-03,VLO,261.0,buy
2010-03-03,ACN,92.0,sell
2010-03-03,ADSK,122.0,sell
2010-03-03,HUM,68.0,sell
2010-03-03,K,82.0,sell
2010-03-03,MAS,26.0,sell
2010-03-03,MRK,0.0,sell
2010-03-04,TTWO,303.0,buy
2010-03-04,LHX,84.0,sell
2010-03-04,SLB,63.0,sell
2010-03-04,ULTA,74.0,sell
2010-03-04,UHS,101.0,sell
2010-03-04,VLO,261.0,sell
2010-03-05,AMGN,68.0,buy
2010-03-05,KO,162.0,buy
2010-03-05,AKAM,12.0,sell
2010-03-05,DG,0.0,sell
2010-03-08,CNP,347.0,buy
2010-03-08,TYL,160.0,buy
2010-03-08,AMGN,68.0,sell
2010-03-08,KO,162.0,sell
2010-03-08,PVH,0.0,sell
2010-03-09,CNP,347.0,sell
2010-03-10,APH,325.0,sell
2010-03-10,UNP,0.0,sell
2010-03-10,VNO,0.0,sell
2010-03-11,LUMN,228.0,buy
2010-03-11,HOLX,204.0,sell
2010-03-11,LKQ,0.0,sell
2010-03-12,LOW,0.0,sell
2010-03-12,LUMN,228.0,sell
2010-03-15,EBAY,1.0,sell
2010-03-15,NSC,0.0,sell
2010-03-16,SJM,70.0,buy
2010-03-16,PFE,292.0,buy
2010-03-16,MMC,179.0,sell
2010-03-16,MTD,0.0,sell
2010-03-16,NWL,0.0,sell
2010-03-16,PXD,0.0,sell
2010-03-17,BLK,18.0,buy
2010-03-17,WDC,98.0,buy
2010-03-17,SJM,70.0,sell
2010-03-18,AWK,190.0,buy
2010-03-18,WBA,120.0,buy
2010-03-18,BLK,18.0,sell
2010-03-18,CMCSA,0.0,sell
2010-03-18,GE,0.0,sell
2010-03-18,WDC,98.0,sell
2010-03-19,AWK,190.0,sell
2010-03-19,CI,89.0,sell
2010-03-19,EXPD,0.0,sell
2010-03-19,WBA,120.0,sell
2010-03-22,LRCX,97.0,buy
2010-03-22,CERN,0.0,sell
2010-03-22,DLTR,0.0,sell
2010-03-22,ORLY,78.0,sell
2010-03-23,CSCO,172.0,sell
2010-03-23,CTSH,135.0,sell
